doc_id,filename,title,team,owner,access_tier,last_verified,format,topic_tags
DOC-001,docs/gtm_icp_definitions.md,Ideal Customer Profile - DSO Segments,GTM,GTM Strategy,public_internal,2026-08-18,markdown,icp;segments;pms_fit
DOC-002,docs/gtm_pricing_packaging.md,Pricing & Packaging FY26,GTM,GTM Strategy,team_restricted_gtm,2026-08-12,markdown,pricing;packaging;discounting
DOC-003,docs/gtm_battlecard_competitor_x.md,Competitive Battlecard,GTM,GTM Strategy,team_restricted_gtm,2026-08-10,markdown,competitive;objection_handling
DOC-005,docs/gtm_onboarding_playbook_carestack.md,Customer Onboarding Playbook - CareStack,GTM,GTM Customer Success,team_restricted_gtm,2026-03-02,markdown,onboarding;carestack
DOC-006,docs/gtm_onboarding_playbook_denticon.md,Customer Onboarding Playbook - Denticon,GTM,GTM Customer Success,team_restricted_gtm,2026-08-14,markdown,onboarding;denticon
DOC-007,docs/gtm_escalation_runbook.md,Customer Escalation Runbook,GTM,GTM Customer Success,team_restricted_gtm,2026-08-16,markdown,escalation;sla;re_auth
DOC-008,docs/gtm_churn_renewal_notes.md,Churn & Renewal Notes,GTM,VP GTM,leadership_only,2026-07-05,markdown,churn;renewal;at_risk
DOC-009,docs/gtm_contract_baa_status.md,Contract & BAA Status,GTM,VP GTM / Legal,leadership_only,2026-08-11,markdown,contracts;baa;legal
DOC-010,docs/ops_qa_training_manual.md,QA Specialist Training Manual,Ops,Ops Lead,team_restricted_ops,2026-08-13,markdown,qa;training;routing
DOC-011,docs/ops_verification_review_sop.md,Verification Review SOP,Ops,Ops Lead,team_restricted_ops,2026-08-09,markdown,qa;sop;escalation
DOC-012,docs/ops_error_pattern_log.md,Error Pattern Log,Ops,Ops Lead,team_restricted_ops,2026-07-08,markdown,errors;sla;re_auth;denticon
DOC-013,docs/ops_payer_handling_notes.md,Payer-Specific Handling Notes,Ops,Ops Lead,team_restricted_ops,2026-08-17,markdown,payer_notes;delta_dental;cigna;metlife;guardian
DOC-014,docs/ops_shift_staffing_runbook.md,QA Shift & Staffing Runbook,Ops,Ops Lead,team_restricted_ops,2026-04-06,markdown,staffing;shifts
SQL-001,structured/payer_coverage.csv,Payer Coverage Matrix,GTM,GTM Strategy,public_internal,2026-08-20,sql_table,payer_coverage
SQL-002,structured/pipeline.csv,Sales Pipeline,GTM,VP GTM,leadership_only,2026-08-20,sql_table,pipeline;deals
DOC-015,docs/bluegrass_call_01_discovery.txt,Discovery Call - Bluegrass Dental Group,GTM,GTM Sales,team_restricted_gtm,2026-08-19,transcript,call_transcript;sla
DOC-016,docs/bluegrass_call_02_demo.txt,Demo Call - Bluegrass Dental Group,GTM,GTM Sales,team_restricted_gtm,2026-08-21,transcript,call_transcript;sla
DOC-017,docs/bluegrass_call_03_negotiation.txt,Negotiation Call - Bluegrass Dental Group,GTM,GTM Sales,team_restricted_gtm,2026-08-25,transcript,call_transcript;sla
DOC-018,docs/bluegrass_call_04_check_in.txt,CheckIn Call - Bluegrass Dental Group,GTM,GTM Sales,team_restricted_gtm,2026-08-27,transcript,call_transcript;sla
